"workclass";"education";"marital_status";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"fam_under_18";"country_self";"income_50k";"age";"relationship"
"local government";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";42;"husband"
"private";"some college but no degree";"married civilian spouse present";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";58;"husband"
"state government";"high school graduate";"divorced";"protective services";"other";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";32;"husband"
"private";"high school graduate";"never married";"sales";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";31;"husband"
"state government";"doctorate degree(phd edd)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";48;"husband"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;1887;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"9th grade";"married civilian spouse present";"precision production craft & repair";"amer indian aleut or eskimo";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";40;"wife"
"private";"11th grade";"never married";"other service";"other";"male";"full time schedules";0;0;"nonmover";"mother only present";"united states";"<=50k";17;"own child"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";70;"husband"
"private";"doctorate degree(phd edd)";"never married";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";40;"husband"
"private";"high school graduate";"married civilian spouse present";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";39;"wife"
"private";"11th grade";"married civilian spouse present";"handlers equip cleaners etc";"white";"female";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";42;"wife"
"local government";"associates degree occup /vocational";"married civilian spouse present";"adm support including clerical";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";69;"husband"
"private";"high school graduate";"divorced";"private household services";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";30;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";32;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"sales";"white";"male";"children or armed forces";0;2415;"nonmover";"adult";"united states";">50k";46;"husband"
"private";"associates degree occup /vocational";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";58;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";39;"wife"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"puerto rico";"<=50k";29;"wife"
"local government";"high school graduate";"widowed";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";58;"husband"
"private";"associates degree occup /vocational";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";38;"wife"
"private";"11th grade";"never married";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"husband"
"private";"high school graduate";"never married";"handlers equip cleaners etc";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";24;"husband"
"private";"10th grade";"never married";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"nonmover";"both parents present";"united states";"<=50k";17;"own child"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"portugal";"<=50k";32;"wife"
"private";"associates degree academic program";"married civilian spouse present";"technicians and related support";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";53;"husband"
"private";"10th grade";"divorced";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";31;"unmarried"
"private";"associates degree academic program";"never married";"precision production craft & repair";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";;"<=50k";30;"unmarried"
"federal government";"10th grade";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";28;"wife"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";56;"husband"
"self employed incorporated";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";52;"wife"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";42;"wife"
"private";"bachelors degree(ba ab bs)";"never married";"handlers equip cleaners etc";"black";"male";"pt for econ reasons usually pt";0;0;"nonmover";"adult";"united states";"<=50k";51;"husband"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"private";"some college but no degree";"never married";"transportation and material moving";"white";"male";"children or armed forces";0;0;"utah";"adult";"united states";"<=50k";19;"own child"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";41;"husband"
"private";"10th grade";"married civilian spouse present";"other service";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";25;"wife"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"amer indian aleut or eskimo";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";39;"wife"
"self employed not incorporated";"high school graduate";"widowed";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";64;"other relative"
"private";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"own child"
"private";"associates degree occup /vocational";"separated";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";32;"unmarried"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"unmarried"
"private";"high school graduate";"married civilian spouse present";"private household services";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";35;"wife"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";53;"husband"
"private";"associates degree occup /vocational";"divorced";"technicians and related support";"white";"female";"children or armed forces";2202;0;"nonmover";"adult";"united states";"<=50k";57;"husband"
"private";"some college but no degree";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"wife"
"state government";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"self employed incorporated";"high school graduate";"widowed";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";68;"husband"
"private";"9th grade";"married civilian spouse present";"handlers equip cleaners etc";"other";"male";"full time schedules";0;0;"nonmover";"adult";"mexico";"<=50k";26;"husband"
"state government";"some college but no degree";"never married";"technicians and related support";"white";"male";"full time schedules";1055;0;"nonmover";"adult";"united states";"<=50k";22;"husband"
"state government";"some college but no degree";"never married";"other service";"white";"male";"children or armed forces";0;0;"abroad";"adult";"united states";"<=50k";33;"own child"
"private";"10th grade";"never married";"sales";"white";"female";"not in labor force";0;0;"nonmover";"both parents present";"united states";"<=50k";16;"own child"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"farming forestry and fishing";"white";"male";"children or armed forces";4386;0;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"9th grade";"never married";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"columbia";"<=50k";63;"other relative"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"transportation and material moving";"white";"male";"children or armed forces";0;0;"tennessee";"adult";"united states";"<=50k";43;"wife"
"private";"11th grade";"divorced";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"private";"high school graduate";"married civilian spouse present";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";54;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";45;"husband"
"private";"5th or 6th grade";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"arizona";"adult";"united states";"<=50k";42;"wife"
"self employed not incorporated";"associates degree academic program";"married civilian spouse present";"farming forestry and fishing";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";33;"wife"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"wife"
"private";"1st 2nd 3rd or 4th grade";"married civilian spouse present";"precision production craft & repair";"black";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";61;"wife"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";42;"wife"
"private";"7th and 8th grade";"never married";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";20;"unmarried"
"federal government";"high school graduate";"divorced";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";57;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;1887;"nonmover";"adult";"united states";">50k";49;"husband"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"germany";"<=50k";57;"wife"
"local government";"high school graduate";"married civilian spouse present";"other service";"amer indian aleut or eskimo";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";31;"wife"
"private";"11th grade";"separated";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"sales";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";49;"wife"
"private";"high school graduate";"never married";"sales";"black";"female";"children or armed forces";0;0;"oklahoma";"adult";"united states";"<=50k";20;"other relative"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";7298;0;"nonmover";"adult";"united states";">50k";30;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";33;"wife"
"private";"some college but no degree";"never married";"handlers equip cleaners etc";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";22;"own child"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";50;"husband"
"local government";"high school graduate";"widowed";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";66;"husband"
"private";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"poland";"<=50k";40;"wife"
"private";"bachelors degree(ba ab bs)";"never married";"executive admin and managerial";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"high school graduate";"never married";"sales";"black";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";20;"own child"
"self employed incorporated";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";35;"husband"
"local government";"high school graduate";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";35;"wife"
"self employed not incorporated";"high school graduate";"divorced";"transportation and material moving";"white";"male";"full time schedules";0;1408;"nonmover";"adult";"united states";"<=50k";28;"unmarried"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";;"<=50k";28;"husband"
"local government";"some college but no degree";"married spouse absent";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";44;"husband"
"private";"9th grade";"never married";"adm support including clerical";"white";"female";"full time schedules";0;2205;"nonmover";"adult";"united states";"<=50k";25;"own child"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";38;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";56;"husband"
"federal government";"high school graduate";"married civilian spouse present";"adm support including clerical";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";70;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"technicians and related support";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";30;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"sales";"black";"male";"children or armed forces";7688;0;"nonmover";"adult";"united states";">50k";56;"husband"
"private";"11th grade";"never married";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"local government";"high school graduate";"married civilian spouse present";"other service";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";39;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"sales";"white";"female";"pt for non econ reasons usually ft";15024;0;"nonmover";"adult";"united states";"<=50k";45;"husband"
"private";"12th grade";"married civilian spouse present";"adm support including clerical";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"bachelors degree(ba ab bs)";"divorced";"sales";"white";"male";"children or armed forces";14084;0;"nonmover";"adult";"united states";">50k";40;"husband"
"private";"some college but no degree";"widowed";"executive admin and managerial";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";47;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";51;"wife"
"private";"5th or 6th grade";"never married";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";32;"unmarried"
"local government";"high school graduate";"married civilian spouse present";"other service";"black";"male";"full time schedules";0;1628;"nonmover";"adult";"united states";"<=50k";50;"husband"
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";24;"wife"
"private";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"unmarried"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";62;"wife"
"private";"11th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";35;"wife"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"black";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";40;"husband"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"male";"children or armed forces";0;0;"north dakota";"adult";"united states";"<=50k";64;"husband"
"private";"some college but no degree";"separated";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";31;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"asian or pacific islander";"male";"children or armed forces";0;0;"nonmover";"adult";"philippines";"<=50k";50;"husband"
"private";"high school graduate";"never married";"other service";"black";"male";"children or armed forces";0;0;"utah";"adult";"haiti";"<=50k";43;"husband"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";48;"wife"
"private";"some college but no degree";"never married";"technicians and related support";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";22;"husband"
"private";"high school graduate";"divorced";"sales";"white";"female";"children or armed forces";0;0;"minnesota";"adult";"united states";"<=50k";35;"husband"
"local government";"some college but no degree";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";4386;0;"nonmover";"adult";"united states";"<=50k";61;"husband"
"private";"some college but no degree";"never married";"technicians and related support";"black";"female";"children or armed forces";0;0;"alabama";"adult";"united states";"<=50k";34;"husband"
"self employed not incorporated";"doctorate degree(phd edd)";"married civilian spouse present";"farming forestry and fishing";"white";"male";"not in labor force";0;0;"nonmover";"adult";"united states";"<=50k";63;"husband"
"local government";"some college but no degree";"married a f spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";47;"wife"
"private";"some college but no degree";"married civilian spouse present";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";51;"husband"
"state government";"bachelors degree(ba ab bs)";"married civilian spouse present";"other service";"other";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";52;"husband"
"private";"high school graduate";"married civilian spouse present";"transportation and material moving";"black";"male";"children or armed forces";0;1740;"nonmover";"adult";"united states";"<=50k";53;"husband"
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"adm support including clerical";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";55;"husband"
"private";"some college but no degree";"married civilian spouse present";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";52;"wife"
"private";"high school graduate";"never married";"private household services";"white";"female";"children or armed forces";0;1602;"utah";"adult";"mexico";"<=50k";26;"other relative"
"private";"some college but no degree";"never married";"adm support including clerical";"asian or pacific islander";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";22;"own child"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"executive admin and managerial";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";53;"husband"
"private";"11th grade";"never married";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;"utah";"adult";"united states";"<=50k";24;"husband"
"private";"high school graduate";"divorced";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";39;"husband"
"private";"high school graduate";"divorced";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";44;"husband"
"private";"associates degree occup /vocational";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"germany";"<=50k";37;"husband"
"private";"12th grade";"never married";"machine operators assmblrs & inspctrs";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";19;"own child"
"federal government";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";23;"husband"
"private";"associates degree occup /vocational";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"england";"<=50k";43;"wife"
"private";"high school graduate";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";26;"wife"
"private";"some college but no degree";"married civilian spouse present";"other service";"other";"male";"full time schedules";0;0;"nonmover";"adult";"ecuador";"<=50k";44;"husband"
"local government";"high school graduate";"married a f spouse present";"other service";"asian or pacific islander";"female";"full time schedules";0;0;"nonmover";"adult";"south korea";"<=50k";44;"wife"
"private";"some college but no degree";"divorced";"executive admin and managerial";"black";"female";"full time schedules";0;0;"nonmover";"adult";"jamaica";"<=50k";49;"husband"
"state government";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"technicians and related support";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";49;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";37;"husband"
"private";"high school graduate";"married civilian spouse present";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"private";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"husband"
"private";"7th and 8th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";30;"husband"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"minnesota";"adult";"united states";"<=50k";37;"wife"
"private";"high school graduate";"divorced";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";47;"husband"
"private";"high school graduate";"widowed";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nevada";"adult";"united states";"<=50k";54;"husband"
"private";"high school graduate";"divorced";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";48;"husband"
"self employed not incorporated";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";39;"husband"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";42;"wife"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;2415;"nonmover";"adult";"united states";">50k";42;"husband"
"private";"some college but no degree";"never married";"protective services";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";19;"own child"
"private";"high school graduate";"never married";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";22;"other relative"
"private";"some college but no degree";"never married";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";21;"own child"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";37;"husband"
"private";"some college but no degree";"married civilian spouse present";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"mexico";">50k";42;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;1887;"colorado";"adult";"united states";"<=50k";34;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";39;"wife"
"local government";"bachelors degree(ba ab bs)";"divorced";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";56;"husband"
"federal government";"10th grade";"divorced";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";71;"husband"
"federal government";"associates degree academic program";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";38;"husband"
"private";"10th grade";"never married";"other service";"white";"female";"children or armed forces";0;0;"minnesota";"mother only present";"united states";"<=50k";17;"own child"
"state government";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";41;"husband"
"private";"11th grade";"never married";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"germany";"<=50k";19;"own child"
"private";"some college but no degree";"never married";"other service";"asian or pacific islander";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"south korea";"<=50k";23;"own child"
"private";"7th and 8th grade";"married civilian spouse present";"private household services";"white";"female";"children or armed forces";0;0;"utah";"adult";"united states";"<=50k";20;"wife"
"state government";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";36;"husband"
"private";"high school graduate";"never married";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";30;"own child"
"local government";"high school graduate";"divorced";"protective services";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"own child"
"private";"high school graduate";"divorced";"precision production craft & repair";"white";"male";"not in labor force";0;0;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"associates degree academic program";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";26;"husband"
"private";"some college but no degree";"divorced";"sales";"white";"female";"full time schedules";0;0;"nonmover";"adult";"france";"<=50k";59;"husband"
"private";"high school graduate";"never married";"machine operators assmblrs & inspctrs";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";32;"unmarried"
"state government";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";37;"husband"
"private";"high school graduate";"married spouse absent";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";30;"other relative"
"private";"5th or 6th grade";"married civilian spouse present";"farming forestry and fishing";"white";"female";"full time schedules";0;0;"nonmover";"adult";"mexico";"<=50k";42;"husband"
"state government";"associates degree academic program";"divorced";"adm support including clerical";"amer indian aleut or eskimo";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";53;"husband"
"private";"high school graduate";"never married";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";23;"own child"
"federal government";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"north carolina";"adult";"united states";"<=50k";55;"wife"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"pt for econ reasons usually pt";0;0;"nonmover";"adult";"united states";"<=50k";60;"wife"
"federal government";"high school graduate";"divorced";"executive admin and managerial";"white";"male";"children or armed forces";10520;0;"nonmover";"adult";"united states";">50k";60;"husband"
"self employed not incorporated";"masters degree(ma ms meng med msw mba)";"widowed";"farming forestry and fishing";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";67;"husband"
"private";"masters degree(ma ms meng med msw mba)";"never married";"executive admin and managerial";"other";"female";"full time schedules";0;0;"nonmover";"adult";;"<=50k";25;"own child"
