"workclass";"education";"marital_status";"major_ind_code";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"det_hh_summ";"fam_under_18";"country_self";"year";"income_50k";"YoB"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"business and repair services";"executive admin and managerial";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";62
"private";"some college but no degree";"divorced";"retail trade";"executive admin and managerial";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";58
"private";"some college but no degree";"married civilian spouse present";"hospital services";"technicians and related support";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";40
"private";"doctorate degree(phd edd)";"married civilian spouse present";"education";"professional specialty";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;">50k";41
"private";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";61
"local government";"10th grade";"never married";"education";"adm support including clerical";"white";"female";"full time schedules";0;0;;"child under 18 never married";"both parents present";"united states";95;"<=50k";79
"federal government";"some college but no degree";"never married";"public administration";"adm support including clerical";"black";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";70
"private";"some college but no degree";"married civilian spouse present";"business and repair services";"other service";"white";"male";"not in labor force";0;0;;"householder";;"united states";95;"<=50k";64
"private";"high school graduate";"married civilian spouse present";"mining";"executive admin and managerial";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";62
"state government";"bachelors degree(ba ab bs)";"married civilian spouse present";"education";"professional specialty";"white";"female";"unemployed full time";0;0;;"householder";;"united states";95;"<=50k";51
"private";"some college but no degree";"married civilian spouse present";"manufacturing durable goods";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;;"spouse of householder";;"peru";95;"<=50k";67
"federal government";"11th grade";"married civilian spouse present";"social services";"other service";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";46
"state government";"bachelors degree(ba ab bs)";"divorced";"education";"adm support including clerical";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";55
"private";"high school graduate";"never married";"retail trade";"other service";"white";"male";"full time schedules";2907;0;;"child 18 or older";;"united states";95;"<=50k";76
"self employed not incorporated";"high school graduate";"married civilian spouse present";"finance insurance and real estate";"executive admin and managerial";"white";"male";"full time schedules";3103;0;;"householder";;"united states";95;"<=50k";45
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"manufacturing durable goods";"professional specialty";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";64
"local government";"high school graduate";"never married";"public administration";"adm support including clerical";"black";"male";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";71
"self employed not incorporated";"bachelors degree(ba ab bs)";"married civilian spouse present";"retail trade";"sales";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";37
"federal government";"high school graduate";"divorced";"transportation";"adm support including clerical";"black";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";34
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"manufacturing durable goods";"professional specialty";"black";"male";"children or armed forces";0;0;;"householder";;"united states";94;">50k";57
"local government";"some college but no degree";"married civilian spouse present";"education";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";53
"private";"some college but no degree";"married civilian spouse present";"retail trade";"sales";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";36
"state government";"high school graduate";"divorced";"public administration";"protective services";"other";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";63
"private";"high school graduate";"never married";"retail trade";"sales";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";64
"state government";"doctorate degree(phd edd)";"married civilian spouse present";"education";"professional specialty";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";47
"private";"some college but no degree";"married civilian spouse present";"finance insurance and real estate";"executive admin and managerial";"white";"female";"children or armed forces";0;1887;;"householder";;"united states";94;"<=50k";60
"private";"9th grade";"married civilian spouse present";"manufacturing nondurable goods";"precision production craft & repair";"amer indian aleut or eskimo";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";55
"private";"11th grade";"never married";"retail trade";"other service";"other";"male";"full time schedules";0;0;;"child under 18 never married";"mother only present";"united states";95;"<=50k";78
"private";"high school graduate";"married civilian spouse present";"retail trade";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";25
"private";"doctorate degree(phd edd)";"never married";"other professional services";"professional specialty";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";55
"private";"high school graduate";"married civilian spouse present";"retail trade";"other service";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";55
"private";"11th grade";"married civilian spouse present";"construction";"handlers equip cleaners etc";"white";"female";"unemployed full time";0;0;;"spouse of householder";;"united states";95;"<=50k";53
"local government";"associates degree occup /vocational";"married civilian spouse present";"social services";"adm support including clerical";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";26
"private";"high school graduate";"divorced";"private household services";"private household services";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";48
"private";"some college but no degree";"married civilian spouse present";"utilities and sanitary services";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";65
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"other professional services";"executive admin and managerial";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;">50k";63
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"finance insurance and real estate";"sales";"white";"male";"children or armed forces";0;2415;;"householder";;"united states";94;">50k";48
"private";"associates degree occup /vocational";"married civilian spouse present";"transportation";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";70
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"other professional services";"professional specialty";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";37
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"communications";"executive admin and managerial";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";55
"private";"high school graduate";"married civilian spouse present";"finance insurance and real estate";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"puerto rico";95;"<=50k";66
"local government";"high school graduate";"widowed";"education";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";36
"private";"associates degree occup /vocational";"married civilian spouse present";"hospital services";"professional specialty";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";56
"private";"11th grade";"never married";"social services";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";67
"private";"high school graduate";"never married";"entertainment";"handlers equip cleaners etc";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";71
"private";"10th grade";"never married";"retail trade";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;;"child under 18 never married";"both parents present";"united states";94;"<=50k";77
"private";"high school graduate";"married civilian spouse present";"manufacturing nondurable goods";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"portugal";94;"<=50k";62
"private";"associates degree academic program";"married civilian spouse present";"business and repair services";"technicians and related support";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;">50k";41
"private";"10th grade";"divorced";"manufacturing durable goods";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;;"nonrelative of householder";;"united states";94;"<=50k";63
"private";"associates degree academic program";"never married";"manufacturing nondurable goods";"precision production craft & repair";"white";"female";"pt for non econ reasons usually ft";0;0;;"nonrelative of householder";;;95;"<=50k";65
"federal government";"10th grade";"married civilian spouse present";"social services";"professional specialty";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"mexico";94;"<=50k";66
"self employed not incorporated";"high school graduate";"married civilian spouse present";"manufacturing nondurable goods";"executive admin and managerial";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";39
"self employed incorporated";"bachelors degree(ba ab bs)";"married civilian spouse present";"other professional services";"executive admin and managerial";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";42
"private";"some college but no degree";"married civilian spouse present";"hospital services";"adm support including clerical";"black";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";52
"private";"bachelors degree(ba ab bs)";"never married";"manufacturing durable goods";"handlers equip cleaners etc";"black";"male";"pt for econ reasons usually pt";0;0;;"householder";;"united states";95;"<=50k";44
"private";"some college but no degree";"married civilian spouse present";"manufacturing durable goods";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";52
"private";"some college but no degree";"never married";"manufacturing durable goods";"transportation and material moving";"white";"male";"children or armed forces";0;0;"utah";"child 18 or older";;"united states";94;"<=50k";75
"private";"high school graduate";"married civilian spouse present";"transportation";"adm support including clerical";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";70
"private";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"precision production craft & repair";"white";"male";"unemployed full time";0;0;;"householder";;"united states";95;"<=50k";54
"private";"10th grade";"married civilian spouse present";"hospital services";"other service";"black";"male";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";69
"private";"high school graduate";"married civilian spouse present";"other professional services";"adm support including clerical";"amer indian aleut or eskimo";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";55
"self employed not incorporated";"high school graduate";"widowed";"social services";"other service";"white";"female";"children or armed forces";0;0;;"other relative of householder";;"united states";94;"<=50k";30
"private";"bachelors degree(ba ab bs)";"never married";"entertainment";"professional specialty";"white";"male";"children or armed forces";0;0;;"child 18 or older";;"united states";94;"<=50k";51
"private";"associates degree occup /vocational";"separated";"wholesale trade";"sales";"white";"male";"full time schedules";0;0;;"nonrelative of householder";;"united states";95;"<=50k";63
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"business and repair services";"professional specialty";"white";"male";"full time schedules";0;0;;"nonrelative of householder";;"united states";95;"<=50k";67
"private";"high school graduate";"married civilian spouse present";"private household services";"private household services";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";59
"private";"high school graduate";"married civilian spouse present";"utilities and sanitary services";"precision production craft & repair";"white";"male";"unemployed full time";0;0;;"householder";;"united states";95;"<=50k";42
"private";"associates degree occup /vocational";"divorced";"medical except hospital";"technicians and related support";"white";"female";"children or armed forces";2202;0;;"householder";;"united states";94;"<=50k";37
"private";"some college but no degree";"married civilian spouse present";"social services";"other service";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";70
"state government";"high school graduate";"married civilian spouse present";"public administration";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";51
"self employed incorporated";"high school graduate";"widowed";"business and repair services";"other service";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";26
"private";"9th grade";"married civilian spouse present";"manufacturing nondurable goods";"handlers equip cleaners etc";"other";"male";"full time schedules";0;0;;"householder";;"mexico";95;"<=50k";69
"state government";"some college but no degree";"never married";"education";"technicians and related support";"white";"male";"full time schedules";1055;0;;"householder";;"united states";95;"<=50k";73
"state government";"some college but no degree";"never married";"medical except hospital";"other service";"white";"male";"children or armed forces";0;0;"abroad";"child 18 or older";;"united states";94;"<=50k";61
"private";"10th grade";"never married";"retail trade";"sales";"white";"female";"not in labor force";0;0;;"child under 18 never married";"both parents present";"united states";95;"<=50k";79
"self employed not incorporated";"high school graduate";"married civilian spouse present";"agriculture";"farming forestry and fishing";"white";"male";"children or armed forces";4386;0;;"householder";;"united states";94;"<=50k";48
"private";"9th grade";"never married";"business and repair services";"other service";"white";"female";"children or armed forces";0;0;;"other relative of householder";;"columbia";94;"<=50k";31
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"manufacturing durable goods";"transportation and material moving";"white";"male";"children or armed forces";0;0;"tennessee";"spouse of householder";;"united states";94;"<=50k";51
"private";"11th grade";"divorced";"manufacturing durable goods";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";57
"private";"high school graduate";"married civilian spouse present";"social services";"other service";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";40
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"manufacturing nondurable goods";"executive admin and managerial";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;">50k";49
"private";"5th or 6th grade";"married civilian spouse present";"construction";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"arizona";"spouse of householder";;"united states";94;"<=50k";52
"self employed not incorporated";"associates degree academic program";"married civilian spouse present";"agriculture";"farming forestry and fishing";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";62
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"social services";"professional specialty";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";61
"private";"1st 2nd 3rd or 4th grade";"married civilian spouse present";"construction";"precision production craft & repair";"black";"male";"pt for non econ reasons usually ft";0;0;;"spouse of householder";;"united states";95;"<=50k";34
"private";"high school graduate";"married civilian spouse present";"manufacturing nondurable goods";"precision production craft & repair";"black";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";52
"private";"7th and 8th grade";"never married";"retail trade";"sales";"white";"male";"full time schedules";0;0;;"nonrelative of householder";;"united states";95;"<=50k";75
"federal government";"high school graduate";"divorced";"transportation";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";37
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"utilities and sanitary services";"executive admin and managerial";"white";"male";"full time schedules";0;1887;;"householder";;"united states";95;">50k";46
"private";"some college but no degree";"married civilian spouse present";"manufacturing nondurable goods";"executive admin and managerial";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"germany";94;"<=50k";37
"local government";"high school graduate";"married civilian spouse present";"education";"other service";"amer indian aleut or eskimo";"male";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";64
"private";"11th grade";"separated";"retail trade";"other service";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";61
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"retail trade";"sales";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";46
"private";"high school graduate";"never married";"retail trade";"sales";"black";"female";"children or armed forces";0;0;"oklahoma";"other relative of householder";;"united states";94;"<=50k";74
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"finance insurance and real estate";"executive admin and managerial";"white";"male";"children or armed forces";7298;0;;"householder";;"united states";94;">50k";64
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"finance insurance and real estate";"sales";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;">50k";61
"private";"some college but no degree";"never married";"retail trade";"handlers equip cleaners etc";"black";"male";"children or armed forces";0;0;;"child 18 or older";;"united states";94;"<=50k";72
"private";"high school graduate";"married civilian spouse present";"wholesale trade";"precision production craft & repair";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";44
"local government";"high school graduate";"widowed";"education";"other service";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";28
"private";"high school graduate";"married civilian spouse present";"personal services except private hh";"executive admin and managerial";"white";"female";"full time schedules";0;0;;"spouse of householder";;"poland";95;"<=50k";55
"private";"bachelors degree(ba ab bs)";"never married";"transportation";"executive admin and managerial";"black";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";61
"private";"high school graduate";"never married";"retail trade";"sales";"black";"male";"unemployed full time";0;0;;"child 18 or older";;"united states";95;"<=50k";75
"self employed incorporated";"high school graduate";"married civilian spouse present";"agriculture";"executive admin and managerial";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;">50k";59
"local government";"high school graduate";"married civilian spouse present";"education";"professional specialty";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";59
"self employed not incorporated";"high school graduate";"divorced";"transportation";"transportation and material moving";"white";"male";"full time schedules";0;1408;;"nonrelative of householder";;"united states";95;"<=50k";67
"private";"high school graduate";"married civilian spouse present";"retail trade";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;;95;"<=50k";67
"local government";"some college but no degree";"married spouse absent";"entertainment";"professional specialty";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";51
"private";"9th grade";"never married";"manufacturing nondurable goods";"adm support including clerical";"white";"female";"full time schedules";0;2205;;"child 18 or older";;"united states";95;"<=50k";70
"private";"high school graduate";"married civilian spouse present";"construction";"precision production craft & repair";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";56
"private";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;">50k";39
"federal government";"high school graduate";"married civilian spouse present";"transportation";"adm support including clerical";"black";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";24
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"business and repair services";"technicians and related support";"white";"male";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";64
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"communications";"professional specialty";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";58
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"manufacturing nondurable goods";"sales";"black";"male";"children or armed forces";7688;0;;"householder";;"united states";94;">50k";38
"private";"11th grade";"never married";"social services";"other service";"white";"female";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";77
"local government";"high school graduate";"married civilian spouse present";"education";"other service";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";55
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"wholesale trade";"sales";"white";"female";"pt for non econ reasons usually ft";15024;0;;"householder";;"united states";95;"<=50k";50
"private";"12th grade";"married civilian spouse present";"finance insurance and real estate";"adm support including clerical";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";66
"private";"high school graduate";"married civilian spouse present";"wholesale trade";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";60
"private";"bachelors degree(ba ab bs)";"divorced";"manufacturing durable goods";"sales";"white";"male";"children or armed forces";14084;0;;"householder";;"united states";94;">50k";54
"private";"some college but no degree";"widowed";"retail trade";"executive admin and managerial";"black";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";48
"self employed not incorporated";"high school graduate";"married civilian spouse present";"social services";"other service";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";44
"private";"5th or 6th grade";"never married";"agriculture";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;;"nonrelative of householder";;"mexico";94;"<=50k";62
"local government";"high school graduate";"married civilian spouse present";"transportation";"other service";"black";"male";"full time schedules";0;1628;;"householder";;"united states";95;"<=50k";45
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"education";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";71
"private";"bachelors degree(ba ab bs)";"never married";"personal services except private hh";"professional specialty";"white";"female";"full time schedules";0;0;;"nonrelative of householder";;"united states";95;"<=50k";61
"private";"high school graduate";"married civilian spouse present";"social services";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";33
"private";"11th grade";"married civilian spouse present";"manufacturing nondurable goods";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";60
"private";"some college but no degree";"married civilian spouse present";"retail trade";"executive admin and managerial";"black";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";55
"private";"some college but no degree";"married civilian spouse present";"finance insurance and real estate";"adm support including clerical";"white";"male";"children or armed forces";0;0;"north dakota";"householder";;"united states";94;"<=50k";30
"private";"some college but no degree";"separated";"construction";"adm support including clerical";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";64
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"hospital services";"executive admin and managerial";"asian or pacific islander";"male";"children or armed forces";0;0;;"householder";;"philippines";94;"<=50k";44
"private";"high school graduate";"never married";"personal services except private hh";"other service";"black";"male";"children or armed forces";0;0;"utah";"householder";;"haiti";94;"<=50k";51
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"education";"executive admin and managerial";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;">50k";47
"private";"some college but no degree";"never married";"manufacturing durable goods";"technicians and related support";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";73
"private";"high school graduate";"divorced";"wholesale trade";"sales";"white";"female";"children or armed forces";0;0;"minnesota";"householder";;"united states";94;"<=50k";59
"local government";"some college but no degree";"married civilian spouse present";"education";"professional specialty";"white";"male";"full time schedules";4386;0;;"householder";;"united states";95;"<=50k";34
"private";"some college but no degree";"never married";"manufacturing durable goods";"technicians and related support";"black";"female";"children or armed forces";0;0;"alabama";"householder";;"united states";94;"<=50k";60
"self employed not incorporated";"doctorate degree(phd edd)";"married civilian spouse present";"forestry and fisheries";"farming forestry and fishing";"white";"male";"not in labor force";0;0;;"householder";;"united states";95;"<=50k";32
"local government";"some college but no degree";"married a f spouse present";"education";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";47
"private";"some college but no degree";"married civilian spouse present";"private household services";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";43
"state government";"bachelors degree(ba ab bs)";"married civilian spouse present";"hospital services";"other service";"other";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";43
"private";"high school graduate";"married civilian spouse present";"transportation";"transportation and material moving";"black";"male";"children or armed forces";0;1740;;"householder";;"united states";94;"<=50k";41
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"public administration";"adm support including clerical";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";40
"private";"some college but no degree";"married civilian spouse present";"wholesale trade";"transportation and material moving";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";67
"private";"high school graduate";"married civilian spouse present";"manufacturing nondurable goods";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";42
"private";"high school graduate";"never married";"private household services";"private household services";"white";"female";"children or armed forces";0;1602;"utah";"other relative of householder";;"mexico";94;"<=50k";68
"private";"some college but no degree";"never married";"transportation";"adm support including clerical";"asian or pacific islander";"male";"full time schedules";0;0;;"child 18 or older";;"united states";95;"<=50k";73
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"education";"executive admin and managerial";"black";"male";"children or armed forces";0;0;;"householder";;"united states";94;">50k";41
"private";"11th grade";"never married";"manufacturing nondurable goods";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;"utah";"householder";;"united states";94;"<=50k";70
"private";"high school graduate";"divorced";"wholesale trade";"transportation and material moving";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";56
"private";"high school graduate";"divorced";"manufacturing durable goods";"adm support including clerical";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";51
"private";"associates degree occup /vocational";"married civilian spouse present";"other professional services";"adm support including clerical";"white";"female";"full time schedules";0;0;;"householder";;"germany";95;"<=50k";58
"private";"12th grade";"never married";"manufacturing durable goods";"machine operators assmblrs & inspctrs";"white";"male";"unemployed full time";0;0;;"child 18 or older";;"united states";95;"<=50k";76
"federal government";"high school graduate";"married civilian spouse present";"public administration";"precision production craft & repair";"white";"male";"pt for non econ reasons usually ft";0;0;;"householder";;"united states";95;"<=50k";72
"private";"associates degree occup /vocational";"married civilian spouse present";"hospital services";"professional specialty";"white";"female";"full time schedules";0;0;;"spouse of householder";;"england";95;"<=50k";52
"private";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"other service";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";69
"private";"some college but no degree";"married civilian spouse present";"entertainment";"other service";"other";"male";"full time schedules";0;0;;"householder";;"ecuador";95;"<=50k";51
"local government";"high school graduate";"married a f spouse present";"education";"other service";"asian or pacific islander";"female";"full time schedules";0;0;;"spouse of householder";;"south korea";95;"<=50k";51
"private";"some college but no degree";"divorced";"finance insurance and real estate";"executive admin and managerial";"black";"female";"full time schedules";0;0;;"householder";;"jamaica";95;"<=50k";46
"state government";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"hospital services";"technicians and related support";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;">50k";46
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"manufacturing durable goods";"professional specialty";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;">50k";58
"private";"high school graduate";"married civilian spouse present";"agriculture";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";61
"private";"some college but no degree";"married civilian spouse present";"construction";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";70
"private";"7th and 8th grade";"married civilian spouse present";"construction";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";65
"private";"some college but no degree";"married civilian spouse present";"other professional services";"adm support including clerical";"white";"female";"children or armed forces";0;0;"minnesota";"spouse of householder";;"united states";94;"<=50k";57
"private";"high school graduate";"divorced";"social services";"other service";"white";"female";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";47
"private";"high school graduate";"widowed";"retail trade";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nevada";"householder";;"united states";94;"<=50k";40
"private";"high school graduate";"divorced";"manufacturing durable goods";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";46
"self employed not incorporated";"bachelors degree(ba ab bs)";"married civilian spouse present";"entertainment";"professional specialty";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";56
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"education";"professional specialty";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";53
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"finance insurance and real estate";"executive admin and managerial";"white";"male";"children or armed forces";0;2415;;"householder";;"united states";94;">50k";52
"private";"some college but no degree";"never married";"business and repair services";"protective services";"white";"male";"children or armed forces";0;0;;"child 18 or older";;"united states";94;"<=50k";75
"private";"high school graduate";"never married";"manufacturing durable goods";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;;"other relative of householder";;"united states";95;"<=50k";73
"private";"some college but no degree";"never married";"retail trade";"sales";"white";"male";"children or armed forces";0;0;;"child 18 or older";;"united states";94;"<=50k";73
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"medical except hospital";"executive admin and managerial";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;">50k";57
"private";"some college but no degree";"married civilian spouse present";"construction";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;;"householder";;"mexico";94;">50k";52
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"utilities and sanitary services";"professional specialty";"white";"female";"children or armed forces";0;1887;"colorado";"householder";;"united states";94;"<=50k";60
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"other professional services";"professional specialty";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";55
