age;workclass;education;marital_status;occupation;relationship;race;gender;capital_gains;capital_losses;hours_per_week;country_self;income_50k
35;private;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;male;0;0;40;united states;<=50k
22;private;bachelors degree(ba ab bs);never married;professional specialty;own child;white;female;0;0;40;united states;<=50k
34;private;9th grade;separated;adm support including clerical;unmarried;white;female;0;0;38;united states;<=50k
25;private;high school graduate;never married;other service;not in family;asian or pacific islander;male;4416;0;45;philippines;<=50k
39;private;some college but no degree;never married;farming forestry and fishing;not in family;white;female;0;0;40;united states;<=50k
44;federal government;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;>50k
33;private;1st 2nd 3rd or 4th grade;divorced;machine operators assmblrs & inspctrs;unmarried;white;female;0;0;40;mexico;<=50k
48;private;11th grade;married civilian spouse present;machine operators assmblrs & inspctrs;husband;black;male;0;0;40;united states;<=50k
58;private;high school graduate;married civilian spouse present;adm support including clerical;husband;white;male;0;0;40;united states;<=50k
36;private;some college but no degree;never married;executive admin and managerial;not in family;white;female;0;0;60;united states;<=50k
53;self employed not incorporated;high school graduate;widowed;farming forestry and fishing;unmarried;white;female;0;0;55;united states;<=50k
25;self employed not incorporated;some college but no degree;married civilian spouse present;farming forestry and fishing;husband;white;male;0;0;50;united states;<=50k
21;private;bachelors degree(ba ab bs);never married;sales;own child;black;female;0;0;30;united states;<=50k
36;private;5th or 6th grade;married civilian spouse present;private household services;wife;white;female;0;0;40;el salvador;<=50k
51;state government;high school graduate;widowed;adm support including clerical;unmarried;white;female;0;0;40;united states;<=50k
26;local government;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;female;0;0;40;united states;<=50k
41;private;associates degree occup /vocational;divorced;professional specialty;unmarried;white;female;0;0;40;united states;<=50k
23;local government;bachelors degree(ba ab bs);never married;professional specialty;own child;white;male;0;0;40;united states;<=50k
20;private;some college but no degree;never married;executive admin and managerial;own child;white;female;0;0;25;united states;<=50k
58;private;bachelors degree(ba ab bs);married civilian spouse present;adm support including clerical;husband;white;male;7688;0;50;united states;>50k
21;private;high school graduate;never married;adm support including clerical;own child;white;male;0;0;25;nicaragua;<=50k
32;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;50;united states;>50k
62;private;high school graduate;married civilian spouse present;adm support including clerical;wife;white;female;0;0;40;united states;<=50k
43;private;associates degree occup /vocational;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;60;united states;<=50k
20;private;some college but no degree;never married;machine operators assmblrs & inspctrs;own child;white;male;0;0;60;united states;<=50k
23;private;some college but no degree;never married;adm support including clerical;own child;white;female;0;0;20;united states;<=50k
26;private;bachelors degree(ba ab bs);never married;adm support including clerical;not in family;white;female;0;0;40;united states;<=50k
33;private;prof school degree (md dds dvm llb jd);married civilian spouse present;professional specialty;husband;white;male;0;0;60;united states;>50k
30;private;some college but no degree;never married;precision production craft & repair;not in family;black;male;0;0;40;united states;<=50k
63;private;7th and 8th grade;married civilian spouse present;precision production craft & repair;husband;white;male;3471;0;45;united states;<=50k
45;private;high school graduate;divorced;sales;own child;white;female;0;0;40;united states;<=50k
39;private;some college but no degree;never married;adm support including clerical;not in family;white;female;0;0;40;united states;<=50k
26;private;high school graduate;never married;handlers equip cleaners etc;unmarried;white;male;0;0;30;united states;<=50k
39;private;bachelors degree(ba ab bs);never married;adm support including clerical;not in family;white;male;0;0;40;united states;<=50k
34;private;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;male;0;0;42;united states;<=50k
33;private;high school graduate;never married;other service;other relative;black;male;0;0;50;united states;<=50k
26;private;some college but no degree;married civilian spouse present;executive admin and managerial;husband;asian or pacific islander;male;0;0;40;united states;<=50k
40;private;some college but no degree;married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;>50k
49;private;high school graduate;separated;handlers equip cleaners etc;not in family;white;male;0;0;40;united states;<=50k
65;private;bachelors degree(ba ab bs);divorced;professional specialty;not in family;white;female;0;0;35;united states;<=50k
19;private;11th grade;never married;other service;own child;white;male;0;0;20;united states;<=50k
47;private;some college but no degree;divorced;protective services;unmarried;white;female;0;0;23;united states;<=50k
24;private;some college but no degree;never married;sales;other relative;asian or pacific islander;male;0;0;20;india;<=50k
55;self employed incorporated;some college but no degree;married civilian spouse present;executive admin and managerial;husband;white;male;0;1977;45;united states;>50k
61;self employed not incorporated;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;35;united states;<=50k
47;local government;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;50;united states;>50k
64;private;high school graduate;married civilian spouse present;other service;husband;black;male;0;0;40;united states;<=50k
37;private;high school graduate;never married;sales;not in family;white;male;0;2339;40;el salvador;<=50k
25;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;40;united states;<=50k
41;self employed not incorporated;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;55;united states;<=50k
40;state government;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;>50k
21;private;associates degree occup /vocational;never married;other service;own child;white;female;0;0;20;united states;<=50k
54;state government;some college but no degree;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;40;united states;>50k
47;private;high school graduate;married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;<=50k
21;private;some college but no degree;never married;sales;own child;white;female;0;0;35;united states;<=50k
32;local government;some college but no degree;married civilian spouse present;precision production craft & repair;other relative;white;male;0;0;40;united states;<=50k
32;private;some college but no degree;divorced;adm support including clerical;unmarried;black;female;0;0;30;united states;<=50k
26;state government;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;female;0;0;10;united states;<=50k
23;private;some college but no degree;separated;other service;own child;white;male;0;0;40;united states;<=50k
27;private;9th grade;separated;precision production craft & repair;not in family;white;male;0;0;40;united states;<=50k
29;local government;some college but no degree;divorced;adm support including clerical;unmarried;white;female;0;0;40;united states;<=50k
43;private;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
39;private;associates degree academic program;married spouse absent;adm support including clerical;other relative;white;male;0;0;60;united states;<=50k
47;private;high school graduate;divorced;sales;not in family;white;female;0;0;37;united states;<=50k
34;local government;high school graduate;divorced;transportation and material moving;not in family;amer indian aleut or eskimo;male;0;0;40;united states;<=50k
35;private;some college but no degree;divorced;adm support including clerical;not in family;white;female;0;0;45;united states;<=50k
20;private;some college but no degree;never married;sales;own child;white;male;1055;0;30;united states;<=50k
36;federal government;high school graduate;divorced;adm support including clerical;unmarried;amer indian aleut or eskimo;female;0;0;40;united states;<=50k
52;private;high school graduate;married civilian spouse present;transportation and material moving;husband;black;male;0;0;99;united states;<=50k
38;self employed incorporated;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;40;united states;<=50k
33;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
18;private;high school graduate;never married;handlers equip cleaners etc;own child;white;male;0;0;35;united states;<=50k
38;private;associates degree academic program;married spouse absent;adm support including clerical;unmarried;white;female;0;0;40;united states;<=50k
56;self employed not incorporated;some college but no degree;married civilian spouse present;protective services;husband;white;male;0;0;50;united states;>50k
30;private;some college but no degree;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;45;united states;>50k
35;state government;some college but no degree;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;50;united states;>50k
60;self employed not incorporated;high school graduate;married civilian spouse present;sales;husband;white;male;0;0;50;united states;<=50k
20;private;5th or 6th grade;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;mexico;<=50k
18;private;12th grade;never married;protective services;own child;white;female;0;0;45;united states;<=50k
19;private;some college but no degree;never married;sales;own child;white;female;0;0;15;united states;<=50k
53;federal government;high school graduate;married civilian spouse present;sales;husband;black;male;5013;0;40;united states;<=50k
18;private;some college but no degree;never married;machine operators assmblrs & inspctrs;own child;white;female;0;0;20;united states;<=50k
44;private;9th grade;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;45;puerto rico;<=50k
57;private;5th or 6th grade;divorced;other service;not in family;asian or pacific islander;female;0;0;37;united states;<=50k
40;self employed not incorporated;bachelors degree(ba ab bs);married civilian spouse present;transportation and material moving;husband;white;male;0;0;70;iran;<=50k
33;private;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;male;0;0;50;united states;>50k
19;private;5th or 6th grade;never married;farming forestry and fishing;not in family;white;male;0;0;36;mexico;<=50k
40;state government;some college but no degree;never married;other service;own child;amer indian aleut or eskimo;male;0;0;84;united states;<=50k
20;self employed not incorporated;some college but no degree;never married;machine operators assmblrs & inspctrs;not in family;white;female;0;0;40;united states;<=50k
47;private;bachelors degree(ba ab bs);married civilian spouse present;sales;husband;white;male;0;0;65;united states;>50k
41;private;high school graduate;separated;precision production craft & repair;unmarried;white;male;0;0;40;united states;<=50k
47;federal government;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;0;1887;40;united states;>50k
23;private;some college but no degree;never married;other service;not in family;black;male;0;0;30;united states;<=50k
49;state government;some college but no degree;married civilian spouse present;other service;husband;white;male;0;0;70;united states;>50k
37;self employed not incorporated;bachelors degree(ba ab bs);married civilian spouse present;precision production craft & repair;husband;white;male;0;0;50;united states;>50k
67;private;high school graduate;divorced;precision production craft & repair;not in family;black;male;0;0;40;united states;<=50k
24;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;40;united states;<=50k
39;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;50;united states;>50k
29;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;4386;0;58;united states;>50k
26;private;high school graduate;never married;adm support including clerical;own child;white;male;0;0;40;united states;<=50k
33;self employed not incorporated;some college but no degree;married civilian spouse present;other service;wife;white;female;0;0;10;united states;<=50k
23;private;high school graduate;never married;other service;not in family;white;male;0;2339;45;united states;<=50k
37;state government;some college but no degree;widowed;transportation and material moving;unmarried;white;female;0;0;40;united states;<=50k
30;private;masters degree(ma ms meng med msw mba);divorced;professional specialty;unmarried;white;male;0;1726;40;united states;<=50k
41;private;high school graduate;divorced;other service;unmarried;white;female;0;0;40;united states;<=50k
23;private;bachelors degree(ba ab bs);never married;adm support including clerical;own child;white;female;0;0;40;united states;<=50k
47;federal government;associates degree academic program;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;40;united states;<=50k
24;private;high school graduate;never married;machine operators assmblrs & inspctrs;not in family;white;female;0;0;40;united states;<=50k
39;private;high school graduate;separated;executive admin and managerial;not in family;white;male;0;2258;70;united states;<=50k
33;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;60;united states;>50k
25;private;high school graduate;never married;other service;not in family;black;female;0;0;40;united states;<=50k
40;private;high school graduate;separated;other service;unmarried;black;female;0;0;40;united states;<=50k
67;private;9th grade;married civilian spouse present;transportation and material moving;husband;white;male;0;0;40;united states;<=50k
55;private;high school graduate;married civilian spouse present;adm support including clerical;wife;white;female;0;0;18;united states;<=50k
69;private;associates degree occup /vocational;widowed;adm support including clerical;unmarried;white;female;0;0;40;united states;<=50k
34;private;high school graduate;married civilian spouse present;technicians and related support;husband;white;male;0;1672;42;united states;<=50k
52;private;prof school degree (md dds dvm llb jd);married civilian spouse present;professional specialty;husband;white;male;15024;0;40;united states;>50k
47;private;bachelors degree(ba ab bs);married civilian spouse present;handlers equip cleaners etc;husband;white;male;0;0;40;united states;<=50k
45;private;associates degree occup /vocational;never married;other service;unmarried;white;female;0;0;40;mexico;<=50k
23;private;bachelors degree(ba ab bs);never married;sales;own child;white;female;0;1590;40;united states;<=50k
41;self employed not incorporated;bachelors degree(ba ab bs);never married;executive admin and managerial;not in family;white;male;0;0;40;united states;<=50k
32;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;>50k
57;local government;masters degree(ma ms meng med msw mba);married civilian spouse present;executive admin and managerial;husband;white;male;0;0;60;united states;>50k
34;private;bachelors degree(ba ab bs);never married;handlers equip cleaners etc;own child;white;male;0;0;40;united states;<=50k
44;state government;associates degree occup /vocational;married civilian spouse present;protective services;husband;white;male;0;0;50;united states;>50k
46;self employed not incorporated;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;48;united states;>50k
60;private;masters degree(ma ms meng med msw mba);never married;executive admin and managerial;not in family;white;female;3325;0;35;united states;<=50k
46;local government;masters degree(ma ms meng med msw mba);separated;professional specialty;unmarried;white;female;0;0;40;united states;<=50k
32;self employed incorporated;masters degree(ma ms meng med msw mba);never married;executive admin and managerial;not in family;white;female;0;0;52;united states;<=50k
44;local government;masters degree(ma ms meng med msw mba);married civilian spouse present;executive admin and managerial;husband;white;male;0;1887;60;united states;>50k
43;private;high school graduate;married civilian spouse present;handlers equip cleaners etc;husband;white;male;0;0;40;united states;<=50k
48;federal government;11th grade;divorced;adm support including clerical;not in family;white;female;0;0;42;united states;<=50k
55;private;bachelors degree(ba ab bs);married civilian spouse present;transportation and material moving;husband;white;male;15024;0;60;united states;>50k
24;private;bachelors degree(ba ab bs);never married;precision production craft & repair;own child;white;male;0;0;40;united states;<=50k
65;private;some college but no degree;divorced;sales;not in family;white;female;0;0;20;united states;<=50k
51;self employed incorporated;11th grade;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;60;united states;>50k
42;state government;bachelors degree(ba ab bs);married civilian spouse present;adm support including clerical;husband;white;male;0;0;40;united states;>50k
36;private;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
19;private;10th grade;never married;other service;unmarried;white;male;0;0;30;el salvador;<=50k
24;self employed not incorporated;7th and 8th grade;never married;farming forestry and fishing;other relative;white;male;0;0;50;united states;<=50k
52;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;40;united states;<=50k
28;private;9th grade;never married;private household services;not in family;white;female;0;0;35;mexico;<=50k
42;private;bachelors degree(ba ab bs);married civilian spouse present;executive admin and managerial;husband;white;male;0;0;40;united states;<=50k
25;private;high school graduate;married civilian spouse present;protective services;husband;white;male;0;0;70;united states;<=50k
53;private;associates degree academic program;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;45;united states;>50k
35;private;high school graduate;married civilian spouse present;adm support including clerical;husband;white;male;0;0;36;united states;<=50k
20;private;high school graduate;divorced;machine operators assmblrs & inspctrs;not in family;white;male;0;0;40;united states;<=50k
38;private;bachelors degree(ba ab bs);never married;executive admin and managerial;not in family;black;male;13550;0;40;united states;>50k
46;private;bachelors degree(ba ab bs);divorced;executive admin and managerial;other relative;white;male;0;0;40;united states;<=50k
58;private;high school graduate;married civilian spouse present;handlers equip cleaners etc;other relative;white;male;0;0;40;united states;<=50k
41;private;some college but no degree;married civilian spouse present;adm support including clerical;wife;white;female;0;0;35;united states;<=50k
66;self employed not incorporated;high school graduate;married civilian spouse present;farming forestry and fishing;husband;white;male;2653;0;40;united states;<=50k
38;state government;some college but no degree;divorced;adm support including clerical;unmarried;white;female;0;0;40;united states;<=50k
29;private;some college but no degree;divorced;other service;unmarried;white;female;0;0;28;united states;<=50k
39;private;some college but no degree;married civilian spouse present;sales;husband;white;male;0;0;40;united states;<=50k
44;local government;high school graduate;married civilian spouse present;protective services;own child;white;male;0;0;40;united states;>50k
26;local government;high school graduate;never married;handlers equip cleaners etc;own child;amer indian aleut or eskimo;male;0;0;25;united states;<=50k
27;private;bachelors degree(ba ab bs);never married;sales;own child;other;male;0;0;38;united states;<=50k
29;private;doctorate degree(phd edd);never married;professional specialty;not in family;white;female;0;0;80;united states;<=50k
29;private;high school graduate;married civilian spouse present;transportation and material moving;husband;white;male;0;0;70;united states;<=50k
47;self employed incorporated;some college but no degree;married civilian spouse present;sales;husband;white;male;0;0;45;united states;<=50k
29;local government;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;female;0;0;55;united states;<=50k
52;local government;high school graduate;married civilian spouse present;transportation and material moving;husband;other;male;0;0;40;jamaica;>50k
27;private;11th grade;never married;handlers equip cleaners etc;other relative;white;male;0;0;40;united states;<=50k
29;private;associates degree academic program;never married;adm support including clerical;not in family;white;male;0;0;40;united states;<=50k
62;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
72;private;high school graduate;widowed;private household services;not in family;white;female;0;0;25;united states;<=50k
27;private;high school graduate;never married;executive admin and managerial;own child;white;male;0;0;40;united states;<=50k
38;private;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;55;united states;<=50k
27;private;high school graduate;divorced;precision production craft & repair;not in family;white;male;0;0;45;united states;<=50k
49;private;masters degree(ma ms meng med msw mba);divorced;professional specialty;not in family;white;male;0;0;60;united states;<=50k
56;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;>50k
52;self employed incorporated;prof school degree (md dds dvm llb jd);married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;>50k
22;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;wife;black;female;0;0;40;united states;<=50k
37;federal government;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;<=50k
55;private;high school graduate;divorced;machine operators assmblrs & inspctrs;other relative;black;male;0;0;40;united states;<=50k
38;state government;some college but no degree;married civilian spouse present;transportation and material moving;husband;black;male;0;0;65;united states;<=50k
45;private;some college but no degree;never married;executive admin and managerial;not in family;white;female;0;1340;50;united states;<=50k
35;private;bachelors degree(ba ab bs);married civilian spouse present;executive admin and managerial;husband;white;male;0;0;40;united states;>50k
21;private;some college but no degree;never married;sales;unmarried;white;male;0;0;60;united states;<=50k
54;federal government;bachelors degree(ba ab bs);married civilian spouse present;executive admin and managerial;wife;white;female;0;0;45;united states;<=50k
19;private;high school graduate;never married;sales;own child;white;female;0;0;40;united states;<=50k
48;state government;masters degree(ma ms meng med msw mba);married civilian spouse present;executive admin and managerial;husband;white;male;0;0;55;united states;>50k
41;private;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;40;united states;<=50k
20;private;9th grade;never married;other service;own child;white;female;0;0;40;united states;<=50k
56;private;11th grade;married civilian spouse present;technicians and related support;wife;black;female;0;0;40;united states;<=50k
49;private;high school graduate;divorced;adm support including clerical;other relative;white;female;0;0;40;united states;<=50k
45;private;7th and 8th grade;never married;adm support including clerical;own child;white;female;0;0;20;united states;<=50k
46;private;high school graduate;divorced;farming forestry and fishing;not in family;white;male;0;0;50;united states;<=50k
39;private;high school graduate;divorced;handlers equip cleaners etc;own child;white;male;0;0;40;united states;<=50k
34;local government;11th grade;separated;other service;unmarried;black;female;0;0;40;united states;<=50k
46;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
41;private;high school graduate;married civilian spouse present;transportation and material moving;husband;white;male;0;0;60;united states;<=50k
48;private;bachelors degree(ba ab bs);never married;executive admin and managerial;not in family;white;female;0;0;35;united states;<=50k
71;private;9th grade;married civilian spouse present;protective services;husband;white;male;0;0;39;cuba;<=50k
26;federal government;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;male;0;0;40;united states;>50k
47;self employed incorporated;high school graduate;married civilian spouse present;sales;wife;white;female;0;0;40;united states;<=50k
23;private;high school graduate;never married;transportation and material moving;own child;black;male;0;0;40;united states;<=50k
65;private;high school graduate;widowed;precision production craft & repair;not in family;white;male;0;0;55;united states;<=50k
60;private;high school graduate;never married;adm support including clerical;not in family;black;female;0;0;38;united states;<=50k
35;private;high school graduate;never married;precision production craft & repair;unmarried;white;male;0;0;40;united states;<=50k
32;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
36;state government;high school graduate;married civilian spouse present;adm support including clerical;husband;white;male;0;0;38;united states;<=50k
41;federal government;some college but no degree;married civilian spouse present;adm support including clerical;wife;amer indian aleut or eskimo;female;0;0;40;united states;>50k
24;local government;high school graduate;never married;other service;not in family;white;female;0;0;20;united states;<=50k
45;private;high school graduate;never married;machine operators assmblrs & inspctrs;own child;black;female;0;0;40;united states;<=50k
48;private;associates degree academic program;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;48;united states;>50k
20;private;some college but no degree;never married;adm support including clerical;not in family;white;female;0;0;25;united states;<=50k
39;local government;associates degree academic program;never married;technicians and related support;not in family;white;female;0;0;38;united states;<=50k
21;private;some college but no degree;never married;other service;not in family;white;female;0;0;30;united states;<=50k
49;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;wife;white;female;0;2415;3;united states;>50k
30;private;high school graduate;never married;protective services;not in family;white;male;0;0;40;united states;<=50k
68;state government;masters degree(ma ms meng med msw mba);widowed;professional specialty;not in family;white;female;0;0;5;united states;<=50k
30;private;masters degree(ma ms meng med msw mba);married civilian spouse present;professional specialty;husband;white;male;0;0;50;united states;<=50k
32;self employed not incorporated;prof school degree (md dds dvm llb jd);married civilian spouse present;professional specialty;husband;asian or pacific islander;male;15024;0;40;philippines;>50k
49;private;high school graduate;divorced;other service;not in family;white;male;0;0;40;portugal;<=50k
24;private;some college but no degree;divorced;adm support including clerical;not in family;white;male;0;0;50;united states;<=50k
34;private;some college but no degree;divorced;professional specialty;not in family;amer indian aleut or eskimo;male;0;0;44;united states;<=50k
40;private;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;female;0;0;40;united states;<=50k
41;private;associates degree academic program;married civilian spouse present;professional specialty;wife;white;female;0;0;40;united states;>50k
23;private;high school graduate;never married;sales;not in family;white;female;0;0;30;united states;<=50k
48;private;high school graduate;divorced;other service;not in family;white;female;0;0;16;united states;<=50k
56;self employed incorporated;high school graduate;married civilian spouse present;executive admin and managerial;other relative;asian or pacific islander;female;0;0;21;china;<=50k
42;state government;doctorate degree(phd edd);divorced;professional specialty;unmarried;black;female;0;0;36;jamaica;<=50k
37;self employed not incorporated;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;>50k
32;private;9th grade;married civilian spouse present;other service;husband;white;male;0;0;40;el salvador;<=50k
40;private;high school graduate;separated;other service;not in family;white;female;0;0;40;united states;<=50k
40;private;masters degree(ma ms meng med msw mba);married civilian spouse present;executive admin and managerial;husband;white;male;99999;0;52;united states;>50k
33;private;11th grade;never married;sales;unmarried;white;female;0;0;34;united states;<=50k
58;private;high school graduate;married civilian spouse present;other service;husband;white;male;0;0;40;united states;<=50k
32;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;40;united states;<=50k
47;private;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;5178;0;40;united states;>50k
41;state government;high school graduate;married civilian spouse present;adm support including clerical;wife;white;female;0;0;38;united states;>50k
56;federal government;associates degree occup /vocational;widowed;adm support including clerical;unmarried;black;female;0;0;40;united states;<=50k
22;private;high school graduate;never married;sales;unmarried;white;female;0;0;60;united states;<=50k
30;private;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;male;0;0;40;united states;<=50k
32;private;bachelors degree(ba ab bs);married civilian spouse present;executive admin and managerial;husband;asian or pacific islander;male;0;0;40;philippines;>50k
27;private;high school graduate;never married;precision production craft & repair;not in family;white;male;0;0;40;united states;<=50k
35;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;wife;white;female;15024;0;35;united states;>50k
37;private;high school graduate;never married;machine operators assmblrs & inspctrs;unmarried;white;male;1506;0;40;united states;<=50k
48;private;high school graduate;divorced;transportation and material moving;not in family;white;male;0;0;46;united states;<=50k
42;private;high school graduate;never married;machine operators assmblrs & inspctrs;unmarried;black;female;0;0;40;united states;<=50k
35;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;>50k
20;local government;some college but no degree;never married;executive admin and managerial;not in family;white;female;0;0;35;united states;<=50k
33;private;bachelors degree(ba ab bs);married civilian spouse present;executive admin and managerial;husband;white;male;15024;0;55;united states;>50k
25;private;some college but no degree;married civilian spouse present;farming forestry and fishing;husband;white;male;0;0;80;united states;<=50k
29;state government;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;40;honduras;>50k
47;private;some college but no degree;divorced;transportation and material moving;unmarried;white;male;0;0;40;united states;<=50k
28;private;bachelors degree(ba ab bs);never married;adm support including clerical;not in family;white;female;0;0;55;united states;<=50k
20;private;some college but no degree;never married;sales;not in family;white;female;0;0;20;united states;<=50k
30;local government;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;female;0;0;40;united states;<=50k
48;self employed not incorporated;associates degree academic program;divorced;technicians and related support;not in family;white;female;0;0;40;united states;<=50k
22;private;some college but no degree;never married;protective services;not in family;white;male;0;0;20;united states;<=50k
57;federal government;10th grade;never married;professional specialty;not in family;white;male;0;0;35;united states;<=50k
24;self employed incorporated;associates degree academic program;never married;sales;not in family;white;male;0;0;70;united states;<=50k
32;private;7th and 8th grade;married spouse absent;farming forestry and fishing;other relative;white;male;0;0;35;mexico;<=50k
67;local government;7th and 8th grade;widowed;other service;not in family;white;female;1086;0;15;united states;<=50k
22;private;some college but no degree;never married;machine operators assmblrs & inspctrs;own child;white;male;0;0;40;united states;<=50k
20;private;high school graduate;never married;handlers equip cleaners etc;own child;white;male;0;0;40;united states;<=50k
29;private;5th or 6th grade;never married;handlers equip cleaners etc;not in family;white;male;0;0;42;mexico;<=50k
37;private;high school graduate;married civilian spouse present;handlers equip cleaners etc;husband;black;male;0;0;40;united states;>50k
30;private;bachelors degree(ba ab bs);never married;technicians and related support;not in family;white;female;0;0;40;united states;<=50k
32;state government;bachelors degree(ba ab bs);separated;professional specialty;not in family;white;female;0;0;40;united states;<=50k
31;private;bachelors degree(ba ab bs);never married;executive admin and managerial;not in family;white;female;0;0;40;united states;<=50k
39;self employed incorporated;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;60;united states;>50k
48;private;high school graduate;divorced;sales;unmarried;white;female;0;0;50;united states;<=50k
38;private;associates degree occup /vocational;divorced;professional specialty;unmarried;black;female;0;0;40;united states;<=50k
25;private;associates degree occup /vocational;never married;professional specialty;own child;white;female;0;0;35;united states;<=50k
22;private;high school graduate;never married;other service;own child;black;female;0;0;24;united states;<=50k
17;private;10th grade;never married;sales;not in family;white;female;0;0;15;united states;<=50k
44;private;bachelors degree(ba ab bs);married civilian spouse present;transportation and material moving;husband;white;male;0;0;52;united states;>50k
28;private;bachelors degree(ba ab bs);never married;professional specialty;not in family;asian or pacific islander;male;0;0;50;south;>50k
18;private;high school graduate;never married;handlers equip cleaners etc;own child;white;male;0;0;30;united states;<=50k
37;private;10th grade;divorced;transportation and material moving;unmarried;white;male;0;0;40;united states;<=50k
26;private;high school graduate;never married;precision production craft & repair;own child;white;male;0;0;35;united states;<=50k
43;private;some college but no degree;never married;other service;unmarried;white;female;0;0;28;united states;<=50k
23;self employed not incorporated;some college but no degree;never married;precision production craft & repair;own child;white;male;0;1504;40;united states;<=50k
43;private;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;50;united states;<=50k
45;private;high school graduate;married civilian spouse present;sales;husband;white;male;15024;0;50;united states;>50k
34;private;high school graduate;divorced;handlers equip cleaners etc;own child;white;male;0;0;35;united states;<=50k
42;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;50;united states;>50k
22;private;some college but no degree;never married;sales;not in family;white;male;0;0;44;united states;<=50k
38;private;high school graduate;never married;other service;unmarried;black;female;0;0;40;united states;<=50k
35;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
39;private;high school graduate;never married;executive admin and managerial;own child;white;female;0;0;50;united states;<=50k
44;private;some college but no degree;married civilian spouse present;sales;husband;white;male;0;0;40;united states;<=50k
